tanggal;kode;open_price;high_price;low_price;close_price;volume
2021-06-14;adro;415.25458063089627;421.54631670106136;407.3899105431899;416.8275146484375;107804300
2021-06-15;adro;415.2545408292581;415.2545408292581;402.67106989503816;412.1086730957031;109048500
2021-06-16;adro;408.9628267459118;440.42150572636655;405.8169588478663;438.84857177734375;264328700
2021-06-17;adro;435.70267883526003;441.9944142697042;426.26507568359375;426.26507568359375;81946100
2021-06-18;adro;426.2650778967006;432.55681336381053;404.24400376181563;412.1086730957031;149122700
2021-06-21;adro;405.81689120637765;410.5356922669169;393.23342171160624;404.24395751953125;84475900
2021-06-22;adro;407.38988950271016;413.68162524792575;401.0981537574946;405.81695556640625;77750600
2021-06-23;adro;410.535769871303;413.6816378396655;394.8064300294906;396.3793640136719;73515700
2021-06-24;adro;396.3793239363705;399.5251915866591;385.36878716036017;391.6605224609375;52732300
2021-06-25;adro;394.8063553984527;407.38982489322404;388.514620651067;404.24395751953125;106349300
2021-06-28;adro;408.96285207648026;410.53578612292824;386.94177542620827;388.51470947265625;71317300
2021-06-29;adro;386.9417634186922;391.66056541160305;379.0770934305074;382.22296142578125;46827300
2021-06-30;adro;382.22295534759144;385.3688232928391;374.3582854844723;379.07708740234375;76460900
2021-07-01;adro;383.7958893202153;390.0876252107106;375.9312194570961;379.07708740234375;53853700
2021-07-02;adro;383.79589214022195;399.52523198203437;379.07709018767827;396.3793640136719;115326200
2021-07-05;adro;397.95231375134426;397.95231375134426;386.94177542620827;388.51470947265625;50259700
2021-07-06;adro;396.37935194858284;408.9628234390141;394.806418012279;405.81695556640625;83567200
2021-07-07;adro;401.0981909179688;401.0981909179688;386.94178417968755;393.2335205078125;72700000
2021-07-08;adro;393.2335024974385;393.2335024974385;380.6500304175205;383.7958984375;50605000
2021-07-09;adro;386.94178417968755;394.8064545898438;382.22298193359376;393.2335205078125;46284000
2021-07-12;adro;399.52524779779225;399.52524779779225;388.51470947265625;388.51470947265625;43425000
2021-07-13;adro;390.0876405297256;391.66057456411966;383.7959043921494;386.9417724609375;30860600
2021-07-14;adro;386.9417664574795;394.80643650742826;382.22296442751025;383.7958984375;57171600
2021-07-15;adro;382.22290686782526;390.08757573341836;382.22290686782526;385.3687744140625;45141600
2021-07-16;adro;390.087646484375;396.37938271799396;385.3688443091608;390.087646484375;44257000
2021-07-19;adro;393.23352050781256;397.9523227539063;390.08765234375005;393.2335205078125;47573900
2021-07-21;adro;396.37938271799396;396.37938271799396;388.5147124259703;390.087646484375;50329700
2021-07-22;adro;393.2335099923923;421.5463227118446;390.0876419124532;419.973388671875;178204200
2021-07-23;adro;419.9733704314835;419.9733704314835;407.3898986582555;410.5357666015625;69244900
2021-07-26;adro;408.9628791809082;412.1087474822998;401.0982084274292;402.671142578125;55386900
2021-07-27;adro;405.8169771082261;410.5357791676241;396.3793729894302;401.0981750488281;31381500
2021-07-28;adro;402.67116756889766;404.2441018172136;394.8064963273176;399.5252990722656;46422700
2021-07-29;adro;404.2440425081073;423.11925071860264;401.0981744730248;416.8275146484375;103637900
2021-07-30;adro;416.82752059193587;429.4109929116924;407.38991635211846;419.973388671875;116435600
2021-08-02;adro;423.1192472137674;437.2756532543767;421.54631320925523;430.9839172363281;86145100
2021-08-03;adro;430.98387405960653;430.98387405960653;423.11920482494213;424.692138671875;61492100
2021-08-04;adro;424.6921146617216;429.4109159357407;423.11918090371523;427.8379821777344;30115900
2021-08-05;adro;427.83816481370195;430.9840336726262;408.96295166015625;408.96295166015625;99527400
2021-08-06;adro;412.10869131162184;416.8274931205336;404.24402163010234;405.81695556640625;41862500
2021-08-09;adro;410.5358860896184;421.5464270958534;405.817082801232;408.96295166015625;56861800
2021-08-10;adro;415.25455941726915;424.6921630403889;408.9628236685226;421.5462951660156;82237200
2021-08-12;adro;424.6921458142869;445.14028616830814;423.11921194090064;443.5673522949219;185580600
2021-08-13;adro;446.71329781983303;449.8591661143389;430.9839563473037;435.7027587890625;71600800
2021-08-16;adro;435.7027161985963;440.42151817908655;426.2651122376159;429.4109802246094;47327100
2021-08-18;adro;427.83803091476216;432.556832726322;416.8274933544558;421.5462951660156;68965200
2021-08-19;adro;421.5462981117278;426.2650999562621;407.389892578125;407.389892578125;61887100
2021-08-20;adro;405.81697100612956;410.53577299457294;396.3793670292428;397.9523010253906;88174800
2021-08-23;adro;397.9523006772814;415.25457461977186;397.9523006772814;413.681640625;61341500
2021-08-24;adro;421.54630776057166;421.54630776057166;393.2334960453094;396.3793640136719;127792400
2021-08-25;adro;399.52522891831114;402.6710968625498;394.8064270019532;394.8064270019531;65065500
2021-08-26;adro;399.5252742767334;405.8170108795166;393.2335376739502;402.671142578125;62480500
2021-08-27;adro;402.67105923694777;402.67105923694777;391.6605224609375;391.6605224609375;70195900
2021-08-30;adro;396.37947622445915;408.96295166015625;396.37947622445915;408.96295166015625;79496000
2021-08-31;adro;412.10870385548424;412.10870385548424;396.3793640136719;396.3793640136719;82451800
2021-09-01;adro;402.67113517992425;415.25460815429693;401.0982010581277;415.2546081542969;133083800
2021-09-02;adro;416.8275422760935;423.1192787632798;408.9628716671106;415.2546081542969;82690300
2021-09-03;adro;419.97334024914954;427.83800954220476;416.82747253192747;426.26507568359375;107931100
2021-09-06;adro;429.4109802246094;434.12978220509956;424.69217824411913;429.4109802246094;61146600
2021-09-07;adro;429.4110608863121;430.983995175273;421.54638944150787;423.11932373046875;31543200
2021-09-08;adro;423.1191920230263;427.8379934210526;416.8274568256579;418.400390625;68516800
2021-09-09;adro;421.5463102571257;430.9839142181061;418.4004422701322;429.4109802246094;83497400
2021-09-10;adro;430.98387405960653;432.5568079065394;423.11920482494213;424.692138671875;61919000
2021-09-13;adro;424.6921630403889;424.6921630403889;418.40042729164236;421.5462951660156;26391100
2021-09-14;adro;424.69221975829197;438.8486270835684;423.119285611039;435.7027587890625;98476700
2021-09-15;adro;432.55686313985916;443.56740147432834;429.41099504429656;437.2756652832031;136898100
2021-09-16;adro;438.8485993309844;443.56740147432834;432.55686313985916;437.2756652832031;50599200
2021-09-17;adro;430.983926951662;430.983926951662;413.68165251199673;419.973388671875;101975300
2021-09-20;adro;418.4004763978901;423.1192787632798;413.6816740325003;415.2546081542969;50111200
2021-09-21;adro;415.25465228566446;427.8381265973513;410.53584941878194;423.11932373046875;64966900
2021-09-22;adro;426.265191759382;443.56746891566684;423.119323185512;440.4216003417969;133762600
2021-09-23;adro;443.567385831907;454.5779237780891;437.2756498626601;445.14031982421875;146626700
2021-09-24;adro;449.8591125488281;476.59898986816404;448.28617858886713;471.88018798828125;303647800
2021-09-27;adro;476.59902661051973;490.75543334152525;473.453158448074;475.0260925292969;158865800
2021-09-28;adro;503.33883351293105;561.5373861378637;503.33883351293105;547.3809814453125;503914800
2021-09-29;adro;547.3810304153798;564.6833043652912;536.3704924472543;541.0892944335938;246864600
2021-09-30;adro;544.2351261485707;567.8291345076127;544.2351261485707;553.6727294921875;267379500
2021-10-01;adro;558.3916653408093;575.6939422950315;547.3811254608497;559.964599609375;176722300
2021-10-04;adro;575.6939254268523;597.7150045415406;575.6939254268523;585.1315307617188;235058800
2021-10-05;adro;604.0066598360655;622.8818679559425;566.2562435963115;575.69384765625;347837200
2021-10-06;adro;605.5796785329046;611.8714154527271;581.9856650835707;586.7044677734375;274437500
2021-10-07;adro;561.5373828898934;561.5373828898934;545.8080444335938;545.8080444335938;423593500
2021-10-08;adro;544.2351588729985;570.9750366210938;541.0892909026343;570.9750366210938;247024500
2021-10-11;adro;572.5480281341792;604.0067109986945;570.9750939909535;602.4337768554688;343765900
2021-10-12;adro;605.5795652354111;610.2983670424403;585.131424071618;592.99609375;263636400
2021-10-13;adro;592.9962018741074;597.7150045415406;578.8397938718077;585.1315307617188;176095000
2021-10-14;adro;583.5585327148438;592.9961370175097;578.8397305635108;583.5585327148438;129722500
2021-10-15;adro;585.1315307617188;592.9962018741074;577.2668596493301;585.1315307617188;153446000
2021-10-18;adro;580.412736328125;596.1420787760417;575.69393359375;589.850341796875;124022900
2021-10-19;adro;581.9855986643995;588.2773348661767;577.2667965130665;583.5585327148438;89410600
2021-10-21;adro;563.1103919048255;566.2562600160256;545.8081172932247;552.099853515625;250080900
2021-10-22;adro;522.2140367491445;550.5268459704837;517.4952352122547;545.8080444335938;219166100
2021-10-25;adro;563.1103232309948;566.2561909585423;542.6621830019363;548.9539184570312;140497900
2021-10-26;adro;558.3915956837598;561.537463828457;547.3810571773195;555.2457275390625;138384200
2021-10-27;adro;555.2457688171739;555.2457688171739;544.2352294921875;544.2352294921875;95389000
2021-10-28;adro;537.9434335158646;537.9434335158646;511.2035552416843;512.7764892578125;289795800
2021-10-29;adro;506.4847234090169;533.2246001107352;504.91178948538646;528.5057983398438;100719500
2021-11-01;adro;520.6411317547987;537.9434050155322;514.349396023623;530.0787353515625;82111500
2021-11-02;adro;522.2141024232998;528.5058385970744;517.4953002929688;517.4953002929688;44420500
2021-11-03;adro;517.4952578416511;528.5057952425373;517.4952578416511;526.932861328125;49009600
